Тип: ID_NAME | Лексема: x | Индекс: 20
Тип: ID_NAME | Лексема: y | Индекс: 21
Тип: ID_NAME | Лексема: main | Индекс: 21
Тип: ID_NAME | Лексема: z | Индекс: 22
Тип: DELIMITER | Лексема: { | Индекс: 23
Тип: DELIMITER | Лексема: } | Индекс: 25
Тип: TYPE | Лексема: int | Индекс: 31
Тип: ID_NAME | Лексема: ftoi | Индекс: 34
Тип: DELIMITER | Лексема: ( | Индекс: 40
Тип: DELIMITER | Лексема: ) | Индекс: 41
Тип: OPERATOR | Лексема: + | Индекс: 43
Тип: DELIMITER | Лексема: , | Индекс: 44
Тип: CONST | Лексема: 5 | Индекс: 53
Тип: DELIMITER | Лексема: ; | Индекс: 59
Тип: OPERATOR | Лексема: = | Индекс: 61
Тип: END | Лексема: return | Индекс: 72
Тип: CONST | Лексема: 10 | Индекс: 97
